2013-10-12 14:08:21.792 Connect db
2013-10-12 14:08:21.840 Greening_Up_2 - treat date 01-Jan-2012
2013-10-12 14:08:27.368 Green up Outcome BACK_BAD | GB/Ayr 2nd Jan                                     | TO BE PLACED                                       | 1 |  13 |  12 |  0 |  50 |  0 | -50
2013-10-12 14:08:27.372 Green up Outcome BOTH | GB/Ayr 2nd Jan                                     | TO BE PLACED                                       | 1 |  19 |  20 |  19 |  50 |  53 |  0
2013-10-12 14:08:27.380 Green up Outcome BOTH | GB/Ayr 2nd Jan                                     | TO BE PLACED                                       | 1 |  12 |  17 |  16 |  50 |  53 |  1
2013-10-12 14:08:27.400 Green up Outcome BOTH | GB/Ayr 2nd Jan                                     | TO BE PLACED                                       | 1 |  9 |  14 |  13 |  50 |  56 |  3
2013-10-12 14:08:27.504 Green up Outcome BACK_BAD | RSA/Kenil (RSA) 2nd Jan                            | TO BE PLACED                                       | 1 |  14 |  14 |  0 |  50 |  0 | -50
2013-10-12 14:08:27.652 Green up Outcome BACK_BAD | GB/Plump 2nd Jan                                   | TO BE PLACED                                       | 1 |  14 |  15 |  0 |  50 |  0 | -50
2013-10-12 14:08:27.660 Green up Outcome BACK_BAD | GB/Plump 2nd Jan                                   | TO BE PLACED                                       | 1 |  13 |  14 |  0 |  50 |  0 | -50
2013-10-12 14:08:27.692 Green up Outcome BOTH | GB/Plump 2nd Jan                                   | TO BE PLACED                                       | 1 |  5 |  16 |  14 |  50 |  55 |  3
2013-10-12 14:08:27.704 Green up Outcome BOTH | GB/Plump 2nd Jan                                   | TO BE PLACED                                       | 1 |  7 |  11 |  10 |  50 |  56 |  3
2013-10-12 14:08:27.712 Green up Outcome BOTH | GB/Plump 2nd Jan                                   | TO BE PLACED                                       | 1 |  10 |  13 |  12 |  50 |  54 |  1
2013-10-12 14:08:27.716 Green up Outcome BACK_BAD | GB/Plump 2nd Jan                                   | TO BE PLACED                                       | 1 |  18 |  18 |  0 |  50 |  0 | -50
2013-10-12 14:08:27.812 Green up Outcome BOTH | GB/Plump 2nd Jan                                   | TO BE PLACED                                       | 1 |  9 |  15 |  11 |  50 |  68 |  15
2013-10-12 14:08:27.868 Green up Outcome BOTH | GB/Folk 2nd Jan                                    | TO BE PLACED                                       | 1 |  19 |  20 |  19 |  50 |  53 |  0
2013-10-12 14:08:27.996 Green up Outcome BOTH | GB/Sthl 3rd Jan                                    | TO BE PLACED                                       | 1 |  7 |  13 |  11 |  50 |  57 |  4
2013-10-12 14:08:28.004 Green up Outcome BOTH | GB/Sthl 3rd Jan                                    | TO BE PLACED                                       | 1 |  3 |  11 |  10 |  50 |  57 |  4
2013-10-12 14:08:28.052 Green up Outcome BOTH | GB/Sthl 3rd Jan                                    | TO BE PLACED                                       | 1 |  8 |  16 |  14 |  50 |  55 |  3
2013-10-12 14:08:28.064 Green up Outcome BOTH | GB/Sthl 3rd Jan                                    | TO BE PLACED                                       | 1 |  6 |  16 |  14 |  50 |  57 |  4
2013-10-12 14:08:28.964 Greening_Up_2 - treat date 03-Jan-2012
2013-10-12 14:08:29.404 Green up Outcome BOTH | GB/Sthl 3rd Jan                                    | TO BE PLACED                                       | 1 |  7 |  13 |  11 |  50 |  57 |  4
2013-10-12 14:08:29.416 Green up Outcome BOTH | GB/Sthl 3rd Jan                                    | TO BE PLACED                                       | 1 |  14 |  18 |  14 |  50 |  67 |  13
2013-10-12 14:08:29.424 Green up Outcome BOTH | GB/Sthl 3rd Jan                                    | TO BE PLACED                                       | 1 |  11 |  12 |  10 |  50 |  61 |  8
2013-10-12 14:08:29.428 Green up Outcome BOTH | GB/Sthl 3rd Jan                                    | TO BE PLACED                                       | 1 |  3 |  11 |  10 |  50 |  57 |  4
2013-10-12 14:08:29.492 Green up Outcome BOTH | GB/Sthl 3rd Jan                                    | TO BE PLACED                                       | 1 |  8 |  16 |  14 |  50 |  55 |  3
2013-10-12 14:08:29.512 Green up Outcome BOTH | GB/Sthl 3rd Jan                                    | TO BE PLACED                                       | 1 |  6 |  16 |  14 |  50 |  57 |  4
2013-10-12 14:08:29.552 Green up Outcome BOTH | GB/Sthl 3rd Jan                                    | TO BE PLACED                                       | 1 |  8 |  13 |  9 |  50 |  69 |  16
2013-10-12 14:08:30.060 Green up Outcome BOTH | GB/Kemp 4th Jan                                    | TO BE PLACED                                       | 1 |  10 |  14 |  10 |  50 |  68 |  14
2013-10-12 14:08:30.112 Green up Outcome BOTH | GB/Kemp 4th Jan                                    | TO BE PLACED                                       | 1 |  5 |  14 |  8 |  50 |  80 |  26
2013-10-12 14:08:30.120 Green up Outcome BOTH | GB/Kemp 4th Jan                                    | TO BE PLACED                                       | 1 |  10 |  12 |  11 |  50 |  57 |  4
2013-10-12 14:08:30.180 Green up Outcome BOTH | GB/Ling 4th Jan                                    | TO BE PLACED                                       | 1 |  3 |  16 |  8 |  50 |  102 |  47
2013-10-12 14:08:30.824 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  8 |  11 |  9 |  50 |  62 |  9
2013-10-12 14:08:30.828 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  12 |  14 |  11 |  50 |  64 |  11
2013-10-12 14:08:30.840 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  8 |  18 |  15 |  50 |  60 |  7
2013-10-12 14:08:30.844 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  4 |  20 |  19 |  50 |  53 |  0
2013-10-12 14:08:30.884 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  4 |  12 |  5 |  50 |  113 |  57
2013-10-12 14:08:30.904 Green up Outcome BACK_BAD | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  21 |  11 |  0 |  50 |  0 | -50
2013-10-12 14:08:30.908 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  5 |  13 |  5 |  50 |  133 |  76
2013-10-12 14:08:30.916 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  8 |  13 |  12 |  50 |  54 |  1
2013-10-12 14:08:30.932 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  4 |  18 |  12 |  50 |  73 |  19
2013-10-12 14:08:30.944 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  8 |  16 |  13 |  50 |  60 |  7
2013-10-12 14:08:31.052 Green up Outcome BOTH | GB/Sthl 4th Jan                                    | TO BE PLACED                                       | 1 |  6 |  12 |  10 |  50 |  60 |  7
2013-10-12 14:08:31.060 Greening_Up_2 - treat date 04-Jan-2012
2013-10-12 14:08:31.528 Green up Outcome BOTH | GB/Kemp 4th Jan                                    | TO BE PLACED                                       | 1 |  10 |  14 |  10 |  50 |  68 |  14
2013-10-12 14:08:31.568 Green up Outcome BOTH | GB/Kemp 4th Jan                                    | TO BE PLACED                                       | 1 |  9 |  11 |  10 |  50 |  55 | -23
2013-10-12 14:08:31.580 Green up Outcome BOTH | GB/Kemp 4th Jan                                    | TO BE PLACED                                       | 1 |  15 |  18 |  16 |  50 |  56 |  3
2013-10-12 14:08:31.608 Green up Outcome BACK_BAD | GB/Kemp 4th Jan                                    | TO BE PLACED                                       | 1 |  13 |  13 |  0 |  50 |  0 | -50
