GB/Ludl 9th Jan | TO BE PLACED | 107887003 | King Of Dudes |  18 |  3 |  100 |  702 |  513
GB/Ludl 9th Jan | TO BE PLACED | 107887003 | Brandy Snapping |  15 |  0 |  100 |  0 | -100
GB/Ludl 9th Jan | TO BE PLACED | 107887003 | Bordoni |  16 |  1 |  100 |  1277 |  1113
GB/Ludl 9th Jan | TO BE PLACED | 107887005 | Kirkhammerton |  13 |  2 |  100 |  697 |  562
GB/Ludl 9th Jan | TO BE PLACED | 107887007 | Crackerjack |  15 |  0 |  100 |  0 | -100
GB/Ludl 9th Jan | TO BE PLACED | 107887007 | Gannaway Bay |  16 |  12 |  100 |  133 |  27
GB/Ludl 9th Jan | TO BE PLACED | 107887007 | Ivebeenthinking |  13 |  11 |  100 |  118 |  12
GB/Ludl 9th Jan | TO BE PLACED | 107887007 | Castle Beach |  12 |  2 |  100 |  575 |  418
GB/Ludl 9th Jan | TO BE PLACED | 107887007 | Danger In The Park |  12 |  6 |  100 |  192 |  82
GB/Ludl 9th Jan | TO BE PLACED | 107887007 | Kill Van Kull |  12 |  6 |  100 |  180 |  71
GB/Donc 9th Jan | TO BE PLACED | 107889389 | Handazan |  17 |  1 |  100 |  1417 |  1246
GB/Donc 9th Jan | TO BE PLACED | 107889389 | Luctor Emergo |  11 |  0 |  100 |  0 | -100
GB/Donc 9th Jan | TO BE PLACED | 107889389 | Aazif |  15 |  3 |  100 |  483 |  311
GB/Donc 9th Jan | TO BE PLACED | 107889389 | Modernism |  20 |  2 |  100 |  1234 |  1072
GB/Donc 9th Jan | TO BE PLACED | 107889391 | Piece Of Magic |  11 |  0 |  100 |  0 | -100
GB/Donc 9th Jan | TO BE PLACED | 107889391 | Detroit River |  12 |  0 |  100 |  0 | -100
GB/Donc 9th Jan | TO BE PLACED | 107889391 | Hardwick Bay |  13 |  0 |  100 |  0 | -100
GB/Donc 9th Jan | TO BE PLACED | 107889397 | Trip The Light |  12 |  6 |  100 |  192 |  82
GB/Donc 9th Jan | TO BE PLACED | 107889397 | Tinseltown |  11 |  8 |  100 |  138 |  31
GB/Donc 9th Jan | TO BE PLACED | 107889397 | Go Set Go |  15 |  6 |  100 |  242 |  69
GB/Donc 9th Jan | TO BE PLACED | 107889397 | Lisheen Hill |  12 |  4 |  100 |  288 |  173
GB/Donc 9th Jan | TO BE PLACED | 107889397 | Jack Albert |  12 |  0 |  100 |  0 | -100
GB/Donc 9th Jan | TO BE PLACED | 107889399 | Zazamix |  13 |  7 |  100 |  186 |  76
GB/Donc 9th Jan | TO BE PLACED | 107889401 | Fiddleesticks |  11 |  5 |  100 |  225 |  113
GB/Donc 9th Jan | TO BE PLACED | 107889401 | Avidity |  15 |  0 |  100 |  0 |  1325
GB/Donc 9th Jan | TO BE PLACED | 107889401 | Grand Gigolo |  13 |  3 |  100 |  451 |  329
GB/Donc 9th Jan | TO BE PLACED | 107889401 | Agesilas |  13 |  0 |  100 |  0 | -100
GB/Donc 9th Jan | TO BE PLACED | 107889401 | Nataraja |  13 |  7 |  100 |  177 |  68
GB/Donc 9th Jan | TO BE PLACED | 107889401 | Egly Ouriet |  11 |  0 |  100 |  0 | -100
GB/Donc 9th Jan | TO BE PLACED | 107889401 | Giveitago |  15 |  0 |  100 |  0 | -100
GB/Kemp 9th Jan | TO BE PLACED | 107889518 | Vhujon |  14 |  2 |  100 |  834 |  693
GB/Kemp 9th Jan | TO BE PLACED | 107889518 | Mr Optimistic |  12 |  4 |  100 |  288 |  173
GB/Kemp 9th Jan | TO BE PLACED | 107889524 | Dancing Ellie Mae |  13 |  0 |  100 |  0 | -100
GB/Kemp 9th Jan | TO BE PLACED | 107889524 | Summer Sun |  16 |  13 |  100 |  128 |  22
GB/Kemp 9th Jan | TO BE PLACED | 107889528 | Shaunas Spirit |  13 |  2 |  100 |  613 |  450
GB/Kemp 9th Jan | TO BE PLACED | 107889528 | Tenbridge |  12 |  7 |  100 |  164 |  56
GB/Kemp 9th Jan | TO BE PLACED | 107889530 | Teen Ager |  12 |  6 |  100 |  192 |  34
GB/Kemp 9th Jan | TO BE PLACED | 107889530 | Olynard |  12 |  7 |  100 |  164 |  56
GB/Ling 9th Jan | TO BE PLACED | 107890008 | Barachiel |  15 |  3 |  100 |  500 |  375
GB/Ling 9th Jan | TO BE PLACED | 107890012 | Flying Kitty |  14 |  0 |  100 |  0 | -100
GB/Ling 9th Jan | TO BE PLACED | 107890012 | The Noble Ord |  14 |  2 |  100 |  567 |  439
GB/Ling 9th Jan | TO BE PLACED | 107890012 | Skyblue |  14 |  0 |  100 |  0 | -100
GB/Ling 9th Jan | TO BE PLACED | 107890012 | Ececheira |  14 |  5 |  100 |  270 |  157
GB/Ling 9th Jan | TO BE PLACED | 107890012 | Litmus |  11 |  0 |  100 |  0 | -100
GB/Ling 9th Jan | TO BE PLACED | 107890014 | Patriotic |  12 |  4 |  100 |  288 |  173
GB/Ling 9th Jan | TO BE PLACED | 107890016 | Black Truffle |  14 |  2 |  100 |  668 |  500
GB/Ling 9th Jan | TO BE PLACED | 107890016 | Sweet Vintage |  12 |  2 |  100 |  792 |  652
GB/Ling 9th Jan | TO BE PLACED | 107890018 | Red Valerian |  18 |  1 |  100 |  1651 |  1461
GB/Ling 9th Jan | TO BE PLACED | 107890018 | It Aint To Grand |  11 |  8 |  100 |  141 |  34
GB/Ling 9th Jan | TO BE PLACED | 107890018 | Perfect Muse |  11 |  2 |  100 |  643 |  488
GB/Ling 9th Jan | TO BE PLACED | 107890020 | Fathom Five |  16 |  2 |  100 |  981 |  832
GB/Ling 10th Jan | TO BE PLACED | 107894032 | Actonetaketwo |  14 |  0 |  100 |  0 | -100
GB/Ling 10th Jan | TO BE PLACED | 107894032 | Carbas |  12 |  2 |  100 |  575 |  446
GB/Ling 10th Jan | TO BE PLACED | 107894040 | Whos That Chick |  17 |  0 |  100 |  0 | -100
GB/Ling 10th Jan | TO BE PLACED | 107894040 | Handsome Molly |  13 |  7 |  100 |  179 |  70
GB/Kemp 10th Jan | TO BE PLACED | 107894171 | Roman Order |  11 |  3 |  100 |  382 |  263
GB/Kemp 10th Jan | TO BE PLACED | 107894175 | Now What |  11 |  3 |  100 |  367 |  248
GB/Kemp 10th Jan | TO BE PLACED | 107894177 | Bet Noir |  12 |  10 |  100 |  115 |  9
GB/Kemp 10th Jan | TO BE PLACED | 107894177 | Bennelong |  12 |  4 |  100 |  288 |  173
GB/Catt 10th Jan | TO BE PLACED | 107895525 | Miss Conduct |  11 |  9 |  100 |  120 | -35
GB/Catt 10th Jan | TO BE PLACED | 107895525 | Rhyme Royal |  11 |  0 |  100 |  0 | -100
GB/Catt 10th Jan | TO BE PLACED | 107895525 | Royal Gig |  12 |  0 |  100 |  0 | -100
GB/Catt 10th Jan | TO BE PLACED | 107895527 | Hollins |  11 |  0 |  100 |  0 | -100
GB/Catt 10th Jan | TO BE PLACED | 107895527 | Kings Grace |  12 |  2 |  100 |  553 |  395
GB/Catt 10th Jan | TO BE PLACED | 107895527 | Gin Cobbler |  16 |  0 |  100 |  0 | -100
GB/Catt 10th Jan | TO BE PLACED | 107895527 | Vintage Star |  18 |  1 |  100 |  1446 |  1259
GB/Catt 10th Jan | TO BE PLACED | 107895531 | Gidam Gidam |  15 |  7 |  100 |  152 | -100
GB/Catt 10th Jan | TO BE PLACED | 107895531 | Desperate Dex |  12 |  4 |  100 |  305 |  144
GB/Catt 10th Jan | TO BE PLACED | 107895533 | Think |  13 |  0 |  100 |  0 | -100
GB/Catt 10th Jan | TO BE PLACED | 107895533 | Sea Lord |  14 |  1 |  100 |  1038 |  871
GB/Catt 10th Jan | TO BE PLACED | 107895533 | Broctune Papa Gio |  12 |  0 |  100 |  0 | -100
GB/Catt 10th Jan | TO BE PLACED | 107895533 | Las Verglas Star |  18 |  3 |  100 |  583 |  454
GB/Catt 10th Jan | TO BE PLACED | 107895533 | Dubaianswer |  19 |  0 |  100 |  0 | -100
GB/Catt 10th Jan | TO BE PLACED | 107895533 | Only Orsenfoolsies |  19 |  2 |  100 |  925 |  733
GB/Catt 10th Jan | TO BE PLACED | 107895533 | Queen Of Epirus |  18 |  0 |  100 |  0 | -100
GB/Catt 10th Jan | TO BE PLACED | 107895533 | Leyland |  20 |  10 |  100 |  195 |  85
GB/Catt 10th Jan | TO BE PLACED | 107895533 | Quintain |  12 |  9 |  100 |  120 | -100
GB/Catt 10th Jan | TO BE PLACED | 107895533 | Discoverie |  20 |  0 |  100 |  0 | -100
GB/Catt 10th Jan | TO BE PLACED | 107895533 | Lets Be On |  12 |  8 |  100 |  134 | -100
GB/Wolv 10th Jan | TO BE PLACED | 107895595 | Hinton Admiral |  11 |  8 |  100 |  145 |  38
GB/Wolv 10th Jan | TO BE PLACED | 107895597 | Sir Boss |  11 |  6 |  100 |  172 |  17
GB/Wolv 10th Jan | TO BE PLACED | 107895601 | Saoi |  12 |  2 |  100 |  693 |  535
GB/Wolv 10th Jan | TO BE PLACED | 107895605 | Gebayl |  13 |  2 |  100 |  650 |  518
GB/Wolv 10th Jan | TO BE PLACED | 107895605 | Bella Cinderella |  12 |  8 |  100 |  143 | -100
GB/Hunt 11th Jan | TO BE PLACED | 107901945 | Ali Baba |  12 |  3 |  100 |  383 |  226
GB/Hunt 11th Jan | TO BE PLACED | 107901945 | Dr Dreamy |  16 |  0 |  100 |  0 | -100
GB/Hunt 11th Jan | TO BE PLACED | 107901947 | Gods Own |  14 |  2 |  100 |  823 |  656
GB/Hunt 11th Jan | TO BE PLACED | 107901947 | Jeano De Toulouse |  17 |  0 |  100 |  0 | -100
GB/Hunt 11th Jan | TO BE PLACED | 107901947 | Royal Guardsman |  14 |  2 |  100 |  774 |  636
GB/Hunt 11th Jan | TO BE PLACED | 107901947 | Tiny Tenor |  12 |  3 |  100 |  429 |  308
GB/Hunt 11th Jan | TO BE PLACED | 107901947 | Portway Flyer |  17 |  0 |  100 |  0 | -100
GB/Hunt 11th Jan | TO BE PLACED | 107901947 | Calusa Comet |  14 |  5 |  100 |  283 |  169
GB/Hunt 11th Jan | TO BE PLACED | 107901947 | Kap Gun |  11 |  9 |  100 |  125 |  19
GB/Hunt 11th Jan | TO BE PLACED | 107901949 | Its Like That |  12 |  5 |  100 |  250 |  137
GB/Hunt 11th Jan | TO BE PLACED | 107901949 | Trojan Sun |  11 |  5 |  100 |  221 |  66
GB/Hunt 11th Jan | TO BE PLACED | 107901949 | Glen Countess |  13 |  2 |  100 |  598 |  468
GB/Hunt 11th Jan | TO BE PLACED | 107901951 | Brass Tax |  12 |  1 |  100 |  920 |  763
GB/Hunt 11th Jan | TO BE PLACED | 107901951 | Elite Beneficial |  13 |  0 |  100 |  0 | -100
GB/Hunt 11th Jan | TO BE PLACED | 107901953 | Classic Pearl |  14 |  0 |  100 |  0 | -100
GB/Hunt 11th Jan | TO BE PLACED | 107901953 | Toot Sweet |  12 |  5 |  100 |  230 |  119
