2013-11-05 23:07:18.960 Connect db
2013-11-05 23:07:18.976 Greening_Up_2 - treat date 01-Jan-2012
2013-11-05 23:07:19.048 Greening_Up_2 - treat date 02-Jan-2012
2012-01-03 13:55:00.000 | BACKED_WON | GB/Sthl 3rd Jan      | 1m Hcap              |  104600968 |  5413179 | TRUE | 13.50 | 0.00 | 50.00 | 0.00 | 625.00
2012-01-03 14:25:00.000 | BACKED_LOST | GB/Sthl 3rd Jan      | 1m6f Hcap            |  104600970 |  4729603 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-03 14:25:00.000 | BACKED_LOST | GB/Sthl 3rd Jan      | 1m6f Hcap            |  104600970 |  5735250 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-03 15:00:00.000 | BACKED_LOST | GB/Sthl 3rd Jan      | 5f Hcap              |  104600972 |  1469395 | FALSE | 14.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-03 15:00:00.000 | BACKED_LOST | GB/Sthl 3rd Jan      | 5f Hcap              |  104600972 |  3821224 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-03 15:00:00.000 | BACKED_LOST | GB/Sthl 3rd Jan      | 5f Hcap              |  104600972 |  3924970 | FALSE | 12.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-03 15:30:00.000 | BACKED_LOST | GB/Sthl 3rd Jan      | 6f Hcap              |  104600974 |  5622994 | FALSE | 14.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-03 15:30:00.000 | BACKED_LOST | GB/Sthl 3rd Jan      | 6f Hcap              |  104600974 |  5702912 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2013-11-05 23:07:21.440 Greening_Up_2 - treat date 04-Jan-2012
2012-01-04 12:30:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m4f Nov Hrd         |  104605206 |  4634292 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 12:50:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603135 |  2608867 | FALSE | 11.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 12:50:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603135 |  3251795 | FALSE | 13.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 12:50:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603135 |  3807116 | FALSE | 11.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 12:50:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603135 |  4812658 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 12:50:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603135 |  4873272 | FALSE | 11.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 13:00:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m4f Hcap Chs        |  104605208 |  2638759 | FALSE | 12.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 13:10:00.000 | BACKED_LOST | GB/Sthl 4th Jan      | 3m Beg Chs           |  104605904 |  3440650 | FALSE | 12.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 13:30:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m Juv Hrd           |  104605210 |  4754871 | FALSE | 11.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 13:30:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m Juv Hrd           |  104605210 |  4985423 | FALSE | 12.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 13:40:00.000 | BACKED_LOST | GB/Sthl 4th Jan      | 3m Hcap Chs          |  104605906 |  1363115 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 13:40:00.000 | BACKED_LOST | GB/Sthl 4th Jan      | 3m Hcap Chs          |  104605906 |  4350083 | FALSE | 12.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 13:50:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 1m2f Sell Stks       |  104603139 |  6067555 | FALSE | 14.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 14:00:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m Nov Hrd           |  104605212 |  5077581 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 14:00:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m Nov Hrd           |  104605212 |  5535658 | FALSE | 14.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 14:10:00.000 | BACKED_LOST | GB/Sthl 4th Jan      | 3m Hcap Hrd          |  104605908 |  4487762 | FALSE | 13.94 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 14:20:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 1m2f Hcap            |  104603141 |  2864728 | FALSE | 10.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 14:20:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 1m2f Hcap            |  104603141 |  3212778 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 14:20:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 1m2f Hcap            |  104603141 |  3270024 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 14:20:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 1m2f Hcap            |  104603141 |  4860956 | FALSE | 13.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 14:30:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m4f Hcap Chs        |  104605214 |  915975 | FALSE | 10.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 14:30:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m4f Hcap Chs        |  104605214 |  928480 | FALSE | 12.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 14:30:00.000 | BACKED_WON | GB/Hunt 4th Jan      | 2m4f Hcap Chs        |  104605214 |  1518694 | TRUE | 15.00 | 0.00 | 50.00 | 0.00 | 700.00
2012-01-04 14:30:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m4f Hcap Chs        |  104605214 |  2922271 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
