rl_20190409_202054168.log:2019-04-09 20:20:50.663 |datapoint|02:25.672|1.123678758|1m4f Hcap                                         |
rl_20190409_202054168.log:2019-04-09 20:20:50.685 |datapoint|04:15.861|1.123678609|2m Sell Hrd                                       |
rl_20190409_202054168.log:2019-04-09 20:20:50.699 |datapoint|03:55.501|1.123660681|2m1f Grd3 Hcap Hrd                                |
rl_20190409_202054168.log:2019-04-09 20:20:50.707 |datapoint|01:33.875|1.123678763|1m Mdn Stks                                       |
rl_20190409_202054168.log:2019-04-09 20:20:50.740 |datapoint|06:43.009|1.123678614|3m Beg Chs                                        |
rl_20190409_202054168.log:2019-04-09 20:20:50.764 |datapoint|05:47.424|1.123660688|3m Grd1 Nov Hrd                                   |
rl_20190409_202054168.log:2019-04-09 20:20:50.772 |datapoint|01:35.469|1.123678768|1m Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:50.793 |datapoint|04:12.015|1.123678619|2m Mdn Hrd                                        |
rl_20190409_202054168.log:2019-04-09 20:20:50.822 |datapoint|06:37.593|1.123660697|3m2f Grd1 Chs                                     |
rl_20190409_202054168.log:2019-04-09 20:20:50.830 |datapoint|01:22.560|1.123678773|7f Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:50.848 |datapoint|04:04.348|1.123678624|2m Hcap Hrd                                       |
rl_20190409_202054168.log:2019-04-09 20:20:50.873 |datapoint|06:54.094|1.123660707|3m2f Hunt Chs                                     |
rl_20190409_202054168.log:2019-04-09 20:20:50.880 |datapoint|01:21.453|1.123678778|7f Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:50.911 |datapoint|06:39.170|1.123678629|3m Hcap Chs                                       |
rl_20190409_202054168.log:2019-04-09 20:20:50.930 |datapoint|04:51.206|1.123660717|2m4f Hcap Hrd                                     |
rl_20190409_202054168.log:2019-04-09 20:20:50.944 |datapoint|02:32.203|1.123678783|1m4f Mdn Stks                                     |
rl_20190409_202054168.log:2019-04-09 20:20:50.972 |datapoint|05:57.508|1.123678634|2m5f Hcap Chs                                     |
rl_20190409_202054168.log:2019-04-09 20:20:50.989 |datapoint|03:58.855|1.123660724|2m Grd3 Hcap Chs                                  |
rl_20190409_202054168.log:2019-04-09 20:20:50.997 |datapoint|01:25.773|1.123678566|7f Claim Mdn                                      |
rl_20190409_202054168.log:2019-04-09 20:20:51.011 |datapoint|02:34.451|1.123678459|1m4f Hcap                                         |
rl_20190409_202054168.log:2019-04-09 20:20:51.018 |datapoint|01:25.271|1.123678571|7f Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:51.028 |datapoint|01:55.082|1.123678464|1m1f Hcap                                         |
rl_20190409_202054168.log:2019-04-09 20:20:51.036 |datapoint|01:23.855|1.123678576|7f Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:51.055 |datapoint|03:39.866|1.123678469|2m Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:51.064 |datapoint|01:39.695|1.123678581|1m Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:51.072 |datapoint|01:23.851|1.123678479|7f Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:51.084 |datapoint|02:17.544|1.123678591|1m2f Stks                                         |
rl_20190409_202054168.log:2019-04-09 20:20:51.093 |datapoint|01:44.052|1.123678484|1m Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:51.107 |datapoint|02:30.752|1.123678596|1m4f Hcap                                         |
rl_20190409_202054168.log:2019-04-09 20:20:53.692 |datapoint|05:11.951|1.123683489|2m4f Nov Hrd                                      |
rl_20190409_202054168.log:2019-04-09 20:20:53.731 |datapoint|05:47.052|1.123703476|2m5f Nov Hrd                                      |
rl_20190409_202054168.log:2019-04-09 20:20:53.749 |datapoint|04:01.106|1.123703512|2m Nov Hrd                                        |
rl_20190409_202054168.log:2019-04-09 20:20:53.776 |datapoint|05:44.641|1.123703547|2m4f Mdn Hrd                                      |
rl_20190409_202054168.log:2019-04-09 20:20:53.797 |datapoint|04:26.148|1.123703583|2m Nov Hrd                                        |
